АВС/ DEF;От;До;Емкость;Оператор;Регион
813;6342100;6342199;100;Ростелеком;Волховский |Ленинградская область
813;6342200;6342209;10;Ростелеком;Волховский |Ленинградская область
813;6342210;6342259;50;Ростелеком;Волховский |Ленинградская область
813;6342260;6342309;50;Ростелеком;Волховский |Ленинградская область
813;6342310;6342359;50;Ростелеком;Волховский |Ленинградская область
813;6342360;6342399;40;Ростелеком;Волховский |Ленинградская область
813;6342400;6342899;500;Ростелеком;Волховский |Ленинградская область
813;6342900;6342999;100;Ростелеком;Волховский |Ленинградская область
813;6344100;6344299;200;Администрация Волго-Балтийского бассейна внутренних водных путей;Волховский |Ленинградская область
813;6344300;6344499;200;Ростелеком;Волховский |Ленинградская область
813;6346200;6346389;190;Ростелеком;Волховский |Ленинградская область
813;6346390;6346429;40;Ростелеком;Волховский |Ленинградская область
813;6348000;6348099;100;Ростелеком;Волховский |Ленинградская область
813;6348100;6348299;200;Ростелеком;Волховский |Ленинградская область
813;6348300;6348309;10;Ростелеком;Волховский |Ленинградская область
813;6348310;6348359;50;Ростелеком;Волховский |Ленинградская область
813;6348360;6348399;40;Ростелеком;Волховский |Ленинградская область
813;6349000;6349599;600;Ростелеком;Волховский |Ленинградская область
813;6351000;6351199;200;Ростелеком;Волховский |Ленинградская область
813;6352000;6358999;7000;Ростелеком;Волховский |Ленинградская область
813;6362000;6363999;2000;Российские железные дороги;Волхов |Ленинградская область
813;6364000;6364999;1000;Ростелеком;Волховский |Ленинградская область
813;6365000;6365499;500;МегаФон;Волхов |Ленинградская область
813;6366300;6366399;100;ЛЭИВО;Волхов |Ленинградская область
813;6366500;6366599;100;ЛЭИВО;Волхов |Ленинградская область
813;6367000;6367199;200;Ростелеком;Волхов |Ленинградская область
813;6368100;6368199;100;Ростелеком;Волхов |Ленинградская область
813;6368400;6368499;100;Северен-Телеком;Волхов |Ленинградская область
813;6369000;6369999;1000;Вымпел-Коммуникации;Волхов |Ленинградская область
813;6370000;6379999;10000;Ростелеком;Волхов |Ленинградская область
813;6380000;6389999;10000;Ростелеком;Волховский |Ленинградская область
813;6390000;6399999;10000;Петербург Транзит Телеком;Волховский |Ленинградская область
813;6400000;6409999;10000;Ростелеком;Лодейнопольский |Ленинградская область
813;6417000;6417099;100;ЛЭИВО;Лодейнопольский |Ленинградская область
813;6420000;6426999;7000;Ростелеком;Лодейное Поле |Ленинградская область
813;6430000;6430217;218;Ростелеком;Лодейное Поле |Ленинградская область
813;6430218;6430499;282;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6430500;6430599;100;Ростелеком;Лодейнопольский |Ленинградская область
813;6430600;6431099;500;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6431100;6431599;500;Ростелеком;Лодейнопольский |Ленинградская область
813;6431600;6433699;2100;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6433700;6433799;100;Ростелеком;Лодейнопольский |Ленинградская область
813;6433800;6435099;1300;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6435100;6435299;200;Ростелеком;Лодейнопольский |Ленинградская область
813;6435300;6435399;100;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6435400;6435899;500;Ростелеком;Лодейнопольский |Ленинградская область
813;6435900;6437199;1300;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6437200;6437599;400;Ростелеком;Лодейнопольский |Ленинградская область
813;6437600;6438099;500;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6438100;6438399;300;Ростелеком;Лодейнопольский |Ленинградская область
813;6438400;6438999;600;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6439000;6439049;50;Ростелеком;Лодейное Поле |Ленинградская область
813;6439050;6439999;950;Ростелеком;Лодейнопольский |Ленинградская область
813;6440000;6440499;500;Ростелеком;Лодейнопольский |Ленинградская область
813;6440500;6441999;1500;Ростелеком;Лодейнопольский |Ленинградская область
813;6442000;6444399;2400;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
813;6444400;6444599;200;Ростелеком;Лодейнопольский |Ленинградская область
813;6444600;6446099;1500;Петербург Транзит Телеком;Лодейнопольский |Ленинградская область
